Year,Miami_HPI,Gold_USD,HPI_in_Gold
1976-01-01,29.81,124.81583333333333,0.2388318789683467
1977-01-01,32.33,147.72083333333333,0.21885877076693086
1978-01-01,35.07,193.23916666666665,0.18148494740972976
1979-01-01,42.27,306.6675,0.1378365819658099
1980-01-01,50.3,607.8641666666666,0.08274875006340507
1981-01-01,51.85,459.75416666666666,0.11277766197514977
1982-01-01,55.77,375.7966666666667,0.14840472241194264
1983-01-01,56.82,422.53,0.1344756585331219
1984-01-01,56.7,360.47749999999996,0.15729137047388536
1985-01-01,55.29,317.90749999999997,0.17391851403317005
1986-01-01,57.73,367.69416666666666,0.15700548236419307
1987-01-01,58.71,446.4725,0.13149746064987206
1988-01-01,63.05,437.04833333333335,0.1442632203150681
1989-01-01,66.25,381.4316666666667,0.1736877291257936
1990-01-01,68.23,383.4666666666667,0.17792941585535466
1991-01-01,69.66,362.18249999999995,0.19233397527489596
1992-01-01,71.66,343.73333333333335,0.20847556245151277
1993-01-01,76.07,359.77,0.21144064263279316
1994-01-01,79.39,384.0116666666667,0.20673851054872464
1995-01-01,83.07,384.1641666666667,0.21623568049249775
1996-01-01,85.66,387.6958333333334,0.22094640343052432
1997-01-01,87.52,331.09583333333336,0.2643343442860199
1998-01-01,91.07,294.16083333333336,0.3095925414951571
1999-01-01,93.08,278.7683333333333,0.3338973221492159
2000-01-01,100.0,279.0316666666667,0.35838226246722293
2001-01-01,111.24,270.9891666666667,0.41049611454332424
2002-01-01,125.36,309.97166666666664,0.4044240602635725
2003-01-01,140.25,363.50916666666666,0.38582245748043953
2004-01-01,165.3,409.2115833333333,0.4039475096318348
2005-01-01,207.64,444.8425833333333,0.46677185993322357
2006-01-01,254.16,604.3358333333333,0.4205608636478338
2007-01-01,266.01,696.72025,0.381803169923653
2008-01-01,222.76,871.70725,0.25554450763143244
2009-01-01,160.52,972.9659166666667,0.16498008537640624
2010-01-01,150.61,1224.66425,0.12298064551161676
2011-01-01,141.98,1569.2108333333333,0.09047860044300399
2012-01-01,142.99,1669.5176666666666,0.0856474914012091
2013-01-01,158.73,1411.4623333333332,0.11245783628185142
2014-01-01,179.3,1265.5775,0.1416744529671237
2015-01-01,196.84,1160.6633333333334,0.16959267545283013
2016-01-01,214.43,1248.9883333333335,0.17168294873317472
2017-01-01,231.25,1257.5591666666667,0.1838879681605438
2018-01-01,248.33,1269.2266666666667,0.1956545718127574
2019-01-01,260.62,1392.4983333333332,0.187160008569729
2020-01-01,271.45,1770.2541666666666,0.15333956282172287
2021-01-01,306.64,1799.6291666666666,0.1703906591867306
2022-01-01,374.91,1800.6025,0.20821363960118908
2023-01-01,432.9,1942.6658333333335,0.22283811892506813
2024-01-01,474.83,2387.7025,0.19886480832515777
