Year,Miami_HPI,Gold_USD,HPI_in_Gold
1976-01-01,29.81,131.62333333333333,0.2264796008813027
1976-04-01,,126.85666666666667,
1976-07-01,,113.93666666666667,
1976-10-01,,126.84666666666668,
1977-01-01,32.33,138.91,0.23274062342523935
1977-04-01,,145.52,
1977-07-01,,145.95333333333335,
1977-10-01,,160.5,
1978-01-01,35.07,178.31000000000003,0.19667993943132744
1978-04-01,,178.4466666666667,
1978-07-01,,202.37,
1978-10-01,,213.83,
1979-01-01,42.27,238.33333333333334,0.17735664335664336
1979-04-01,,258.59,
1979-07-01,,316.83666666666664,
1979-10-01,,412.91,
1980-01-01,50.3,631.4033333333333,0.07966381763373649
1980-04-01,,543.9766666666666,
1980-07-01,,648.0166666666667,
1980-10-01,,608.06,
1981-01-01,51.85,518.7533333333333,0.09995116497243392
1981-04-01,,478.8633333333333,
1981-07-01,,420.99333333333334,
1981-10-01,,420.4066666666667,
1982-01-01,55.77,362.84,0.1537041120052916
1982-04-01,,332.99666666666667,
1982-07-01,,380.17,
1982-10-01,,427.18,
1983-01-01,56.82,464.02666666666664,0.12244985920349406
1983-04-01,,427.91,
1983-07-01,,410.30333333333334,
1983-10-01,,387.87999999999994,
1984-01-01,56.7,383.7033333333333,0.14777041290580398
1984-04-01,,378.8233333333333,
1984-07-01,,345.2033333333333,
1984-10-01,,334.18,
1985-01-01,55.29,305.13000000000005,0.18120145511749086
1985-04-01,,319.76666666666665,
1985-07-01,,323.65000000000003,
1985-10-01,,323.0833333333333,
1986-01-01,57.73,344.0233333333333,0.1678083850901586
1986-04-01,,341.84666666666664,
1986-07-01,,380.91,
1986-10-01,,403.99666666666667,
1987-01-01,58.71,406.09666666666664,0.14457148954682383
1987-04-01,,449.39000000000004,
1987-07-01,,457.34999999999997,
1987-10-01,,473.05333333333334,
1988-01-01,63.05,454.08666666666664,0.13885014608077753
1988-04-01,,451.31666666666666,
1988-07-01,,427.45666666666665,
1988-10-01,,415.3333333333333,
1989-01-01,66.25,393.89000000000004,0.1681941658838762
1989-04-01,,374.34999999999997,
1989-07-01,,367.31,
1989-10-01,,390.1766666666667,
1990-01-01,68.23,406.66,0.16778143903998427
1990-04-01,,365.20666666666665,
1990-07-01,,382.1933333333333,
1990-10-01,,379.8066666666667,
1991-01-01,69.66,370.27,0.18813298403867448
1991-04-01,,360.68333333333334,
1991-07-01,,357.58,
1991-10-01,,360.1966666666667,
1992-01-01,71.66,350.90000000000003,0.20421772584781986
1992-04-01,,338.89000000000004,
1992-07-01,,347.07,
1992-10-01,,338.0733333333333,
1993-01-01,76.07,329.46666666666664,0.23088830433023066
1993-04-01,,360.4066666666667,
1993-07-01,,375.43666666666667,
1993-10-01,,373.77,
1994-01-01,79.39,384.3066666666667,0.20657981473129097
1994-04-01,,381.44666666666666,
1994-07-01,,385.81,
1994-10-01,,384.48333333333335,
1995-01-01,83.07,379.1033333333333,0.2191223149361212
1995-04-01,,387.93666666666667,
1995-07-01,,384.32,
1995-10-01,,385.2966666666666,
1996-01-01,85.66,400.14000000000004,0.2140750737241965
1996-04-01,,390.01666666666665,
1996-07-01,,384.65333333333336,
1996-10-01,,375.97333333333336,
1997-01-01,87.52,351.1666666666667,0.24922638822971047
1997-04-01,,343.0233333333333,
1997-07-01,,323.6433333333334,
1997-10-01,,306.55,
1998-01-01,91.07,294.1766666666667,0.3095758784403929
1998-04-01,,299.90333333333336,
1998-07-01,,288.65333333333336,
1998-10-01,,293.91,
1999-01-01,93.08,286.78999999999996,0.32455803898322816
1999-04-01,,273.45666666666665,
1999-07-01,,259.17,
1999-10-01,,295.6566666666667,
2000-01-01,100.0,290.19,0.3446018126055343
2000-04-01,,280.2033333333333,
2000-07-01,,276.58,
2000-10-01,,269.15333333333336,
2001-01-01,111.24,263.4633333333333,0.4222219410670682
2001-04-01,,267.69,
2001-07-01,,274.44666666666666,
2001-10-01,,278.3566666666667,
2002-01-01,125.36,290.3566666666666,0.4317448655102346
2002-04-01,,312.78333333333336,
2002-07-01,,314.23,
2002-10-01,,322.51666666666665,
2003-01-01,140.25,352.1263333333333,0.39829455148199655
2003-04-01,,346.7383333333333,
2003-07-01,,363.2443333333333,
2003-10-01,,391.92766666666665,
2004-01-01,165.3,408.44433333333336,0.40470631248811545
2004-04-01,,393.13733333333334,
2004-07-01,,401.292,
2004-10-01,,433.9726666666667,
2005-01-01,207.64,427.07666666666665,0.48618905270716417
2005-04-01,,427.2543333333333,
2005-07-01,,439.48566666666665,
2005-10-01,,485.5536666666667,
2006-01-01,254.16,553.984,0.45878581330868756
